자전거,반납시간,대여대여소,반답대여소,시간,이동거리
SPB-09846,2020-01-03 6:56,1162,2701,4,830
SPB-02297,2020-01-03 18:00,1428,1428,23,0
SPB-16990,2020-01-03 18:21,1986,1916,10,1570
SPB-12017,2020-01-04 11:41,3509,3518,3,760
SPB-07700,2020-01-10 17:56,1984,2135,30,5360
SPB-06502,2020-01-11 3:58,2313,1220,37,5560
SPB-19266,2020-01-12 19:57,2610,3534,57,7010
SPB-09231,2020-01-15 1:21,1662,1666,14,1520
SPB-14029,2020-01-15 20:40,933,950,2,300
SPB-07617,2020-01-21 22:55,1296,2619,62,1650
SPB-22274,2020-01-22 22:15,3501,549,7,1420
SPB-04837,2020-01-23 21:39,1403,1449,7,890
SPB-24895,2020-01-23 23:05,1287,1201,21,3740
SPB-25161,2020-01-31 1:56,736,1933,48,2680
SPB-07766,2020-02-01 14:10,1319,583,36,6010
SPB-23097,2020-02-02 14:27,1840,1830,5,1250
SPB-16795,2020-02-03 2:23,1290,1265,11,0
SPB-16146,2020-02-03 15:17,1955,2115,4,0
SPB-11197,2020-02-09 14:32,1139,731,7,1560
SPB-07760,2020-02-10 2:53,2139,2136,17,2810
SPB-15294,2020-02-10 8:15,746,274,23,5280
SPB-14135,2020-02-13 19:42,3533,3504,5,650
SPB-05248,2020-02-15 0:31,907,931,85,2280
SPB-21184,2020-02-17 15:08,3528,577,4,350
SPB-07139,2020-02-18 8:23,1162,2701,5,810
SPB-11983,2020-02-21 19:19,2299,2299,68,5280
SPB-17539,2020-02-22 5:35,292,1960,20,2110
SPB-02833,2020-02-26 3:32,641,633,7,830
SPB-02157,2020-02-26 20:36,2385,565,46,9410
SPB-19758,2020-02-29 23:34,1933,758,12,0
SPB-24929,2020-03-02 1:27,183,183,19,2540
SPB-09546,2020-03-02 22:05,1841,1828,4,910
SPB-24879,2020-03-03 16:24,401,154,29,4680
SPB-15192,2020-03-03 22:54,1991,1971,9,1910
SPB-08937,2020-03-04 8:33,1925,723,19,4000
SPB-12261,2020-03-07 12:10,1149,1149,29,1990
SPB-30429,2020-03-07 17:10,819,819,119,1227.91
SPB-12331,2020-03-08 13:52,178,914,12,1660
SPB-05858,2020-03-11 23:04,1966,1966,52,5310
SPB-19273,2020-03-12 19:04,1221,1209,22,3470
SPB-22334,2020-03-13 17:43,293,239,5,0
SPB-16955,2020-03-14 16:24,314,302,33,3180
SPB-12471,2020-03-15 21:14,1199,1127,14,1540
SPB-30233,2020-03-16 14:10,1408,1429,15,0
SPB-21872,2020-03-17 15:49,930,415,19,4160
SPB-13512,2020-03-18 18:22,816,252,50,7740
SPB-18376,2020-03-20 12:25,1308,659,6,860
SPB-19711,2020-03-21 14:53,593,593,56,11190
SPB-06803,2020-03-23 8:33,1019,2362,54,13190
SPB-20658,2020-03-23 9:33,1401,1447,18,3540
SPB-03395,2020-03-23 20:29,1131,1166,15,0
SPB-23133,2020-03-27 8:37,2059,2156,19,1890
SPB-09270,2020-03-27 21:13,1827,1998,28,5410
SPB-03228,2020-03-28 14:33,1259,1209,19,2850
SPB-14705,2020-03-29 0:00,166,166,57,10350
SPB-19715,2020-03-30 10:49,1351,502,49,12040
SPB-13525,2020-03-30 20:24,2108,2112,6,970
SPB-13655,2020-04-01 0:12,2613,2613,95,2160
SPB-18412,2020-04-01 8:13,1957,229,36,6370
SPB-09747,2020-04-03 9:05,1913,1906,17,2220
SPB-22508,2020-04-03 15:50,117,907,37,9660
SPB-30710,2020-04-05 10:23,1539,1539,16,0
SPB-11255,2020-04-06 19:20,542,576,10,1480
SPB-18628,2020-04-06 21:41,2113,1975,14,1330
SPB-00397,2020-04-10 8:22,438,152,9,1560
SPB-31011,2020-04-11 5:54,816,838,14,0
SPB-09156,2020-04-11 17:26,1319,1320,29,1980
SPB-14150,2020-04-11 17:34,3525,3525,100,10600
SPB-11398,2020-04-12 16:56,815,2002,59,9530
SPB-30357,2020-04-12 17:45,3519,583,15,0
SPB-24116,2020-04-14 22:05,157,426,2,300
SPB-31884,2020-04-15 21:25,765,1151,72,0
SPB-24286,2020-04-15 21:37,144,166,22,5260
SPB-31832,2020-04-18 11:01,1436,1436,2,0
SPB-21745,2020-04-18 15:58,104,2058,75,9450
SPB-17743,2020-04-18 16:47,420,420,89,3560
SPB-30628,2020-04-18 18:26,1160,1160,118,0
SPB-20658,2020-04-21 17:10,1320,659,20,1210
SPB-24094,2020-04-21 19:13,905,951,18,2240
SPB-30803,2020-04-23 2:52,2102,2264,35,0
SPB-21051,2020-04-23 21:53,504,593,3,690
SPB-22308,2020-04-24 18:52,1218,1212,11,1880
SPB-18385,2020-04-25 18:54,138,915,38,4950
SPB-02896,2020-04-25 22:40,1127,1122,30,3910
SPB-14793,2020-04-27 1:50,1933,750,56,2610
SPB-31461,2020-04-27 12:57,1152,1184,25,0
SPB-31767,2020-04-29 9:22,1182,2056,68,0
SPB-21515,2020-04-29 16:08,1323,1373,2,260
SPB-30265,2020-04-29 22:36,228,825,112,0
SPB-34428,2020-05-01 11:13,1044,1044,86,0
SPB-32911,2020-05-01 21:17,2620,1253,142,0
SPB-33529,2020-05-02 10:48,1128,1146,9,0
SPB-10270,2020-05-02 17:37,220,207,5,1080
SPB-32247,2020-05-04 0:09,2313,626,120,0
SPB-22682,2020-05-04 0:44,725,704,11,1390
SPB-32748,2020-05-04 12:58,195,175,12,0
SPB-20083,2020-05-04 21:11,117,907,86,12470
SPB-32832,2020-05-05 20:24,186,186,124,0
SPB-30734,2020-05-06 1:05,1245,1279,26,0
SPB-31493,2020-05-06 6:30,901,917,5,0
SPB-31077,2020-05-06 19:24,1692,1605,44,0
SPB-20815,2020-05-06 22:39,943,440,111,8720
SPB-33100,2020-05-07 8:08,2054,2003,74,0
SPB-33891,2020-05-08 17:01,470,243,83,0
SPB-32882,2020-05-10 17:13,575,2025,96,0
SPB-03653,2020-05-10 20:56,103,175,23,0
SPB-02909,2020-05-12 18:18,2020,2174,24,2350
SPB-31613,2020-05-14 22:34,1729,1731,5,0
SPB-25272,2020-05-14 23:54,1212,1251,38,4540
SPB-32865,2020-05-16 20:47,3511,1212,62,0
SPB-23716,2020-05-17 21:18,1127,713,36,1910
SPB-33450,2020-05-19 16:33,575,3519,50,0
SPB-33803,2020-05-20 1:48,234,254,3,0
SPB-23411,2020-05-21 8:38,1121,1117,15,2330
SPB-11397,2020-05-23 14:54,1438,1441,12,1680
SPB-22925,2020-05-25 20:49,1162,1162,115,13120
SPB-22403,2020-05-27 20:19,1841,2177,15,2390
SPB-32384,2020-05-28 7:34,1162,1106,56,0
SPB-15749,2020-05-28 16:15,1906,1901,6,1310
